Metric,Year 1,Year 2,Year 3,Year 4,Year 5
Clinician Seats,200,600,1200,2800,5000
Active Client Profiles,2000,7500,15000,45000,80000
SaaS Revenue ($),$477600,$1432800,$2865600,$6686400,$11940000
Client Portal Revenue ($),$456000,$1710000,$3420000,$10260000,$18240000
Affiliate Commissions ($),$80000,$300000,$600000,$1800000,$3200000
Total Revenue ($),$1013600,$3442800,$6885600,$18746400,$33380000
COGS (Hosting & AI API calls),($162176),($550848),($1101696),($2999424),($5340800)
Gross Profit ($),$851424,$2891952,$5783904,$15746976,$28039200
Gross Margin (%),84.0%,84.0%,84.0%,84.0%,84.0%
OPEX (Engineers & GTM),($650000),($1500000),($2500000),($4500000),($8000000)
EBITDA ($),$201424,$1391952,$3283904,$11246976,$20039200
EBITDA Margin (%),19.9%,40.4%,47.7%,60.0%,60.0%
Customer Acquisition Cost (CAC),$450,$380,$320,$280,$250
Customer Lifetime Value (LTV),$4800,$5200,$5500,$5800,$6000
LTV:CAC Ratio,10.7,13.7,17.2,20.7,24.0
